dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,coverage_start,coverage_end,generated_at,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2010-01-01,2010-01,89,20.096774193548388,8,0.006584975902177102,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2010-12-01,2010-12,91,21.233333333333334,8,0.00673295288874288,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-01-01,2011-01,82,18.516129032258064,9,0.00602830067575387,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-02-01,2011-02,57,12.870967741935484,5,0.004190404128267934,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-03-01,2011-03,57,14.25,4,0.004190404128267934,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-04-01,2011-04,58,13.096774193548386,8,0.0042639199901673705,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-05-01,2011-05,71,16.566666666666666,3,0.0052196261948600576,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-06-01,2011-06,66,14.903225806451612,6,0.00485204688536287,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-07-01,2011-07,75,17.5,4,0.005513689642457808,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-08-01,2011-08,87,19.645161290322584,5,0.006395879985251057,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-09-01,2011-09,65,14.677419354838708,4,0.004778531023463433,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-10-01,2011-10,92,21.46666666666667,1,0.0067634592947482435,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-11-01,2011-11,76,17.161290322580644,6,0.005587205504357245,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2011-12-01,2011-12,66,15.400000000000002,4,0.00485204688536287,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-01-01,2012-01,62,14.0,8,0.004527130736532127,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-02-01,2012-02,50,11.29032258064516,2,0.003650911884300102,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-03-01,2012-03,62,14.96551724137931,8,0.004527130736532127,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-04-01,2012-04,49,11.064516129032258,4,0.0035778936466141003,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-05-01,2012-05,59,13.766666666666666,4,0.004308076023474121,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-06-01,2012-06,58,13.096774193548386,5,0.004235057785788118,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-07-01,2012-07,64,14.933333333333334,4,0.004673167211904131,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-08-01,2012-08,64,14.451612903225806,6,0.004673167211904131,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-09-01,2012-09,62,14.0,0,0.004527130736532127,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-10-01,2012-10,73,17.03333333333333,6,0.00533033135107815,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-11-01,2012-11,55,12.419354838709678,6,0.0040160030727301125,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2012-12-01,2012-12,48,11.200000000000001,3,0.0035048754089280986,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-01-01,2013-01,57,12.870967741935484,8,0.004133405921210798,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-02-01,2013-02,39,8.806451612903226,2,0.0028281198408284408,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-03-01,2013-03,39,9.75,2,0.0028281198408284408,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-04-01,2013-04,45,10.161290322580646,3,0.0032632152009558933,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-05-01,2013-05,39,9.1,7,0.0028281198408284408,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-06-01,2013-06,44,9.935483870967742,5,0.0031906993076013176,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-07-01,2013-07,47,10.966666666666667,6,0.003408246987665044,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-08-01,2013-08,52,11.741935483870968,7,0.003770826454437921,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-09-01,2013-09,47,10.612903225806452,6,0.003408246987665044,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-10-01,2013-10,48,11.200000000000001,5,0.0034807628810196198,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-11-01,2013-11,38,8.580645161290322,1,0.0027556039474738656,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D030,neonatal-tetanus,Neonatal Tetanus,CN,China,D030,Neonatal Tetanus,新生儿破伤风,Bacterial,2013-12-01,2013-12,32,7.466666666666667,3,0.002320508587346413,wpp_computed,,2010-01-01,2026-02-01,2026-03-27T07:40:13.841640+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
