dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,coverage_start,coverage_end,generated_at,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2010-01-01,2010-01,533,120.35483870967744,11,0.039435866919779725,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2010-12-01,2010-12,2013,469.69999999999993,33,0.14893883697845514,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-01-01,2011-01,1082,244.3225806451613,17,0.0795441625751913,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-02-01,2011-02,551,124.41935483870967,6,0.040507239906590026,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-03-01,2011-03,609,152.25,9,0.044771159896757395,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-04-01,2011-04,625,141.1290322580645,1,0.0459474136871484,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-05-01,2011-05,885,206.5,9,0.06506153778100213,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-06-01,2011-06,923,208.41935483870967,9,0.06785514053318076,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-07-01,2011-07,670,156.33333333333331,8,0.04925562747262308,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-08-01,2011-08,424,95.74193548387098,5,0.03117072544536147,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-09-01,2011-09,376,84.90322580645162,2,0.027641964074188476,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-10-01,2011-10,959,223.76666666666665,11,0.0705017115615605,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-11-01,2011-11,2268,512.1290322580645,19,0.1667339747879241,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2011-12-01,2011-12,1951,455.23333333333335,31,0.14342944656580242,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-01-01,2012-01,1115,251.7741935483871,11,0.08141533501989227,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-02-01,2012-02,765,172.74193548387095,5,0.05585895182979156,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-03-01,2012-03,793,191.41379310344828,5,0.05790346248499962,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-04-01,2012-04,773,174.54838709677418,0,0.05644309773127958,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-05-01,2012-05,947,220.96666666666667,6,0.06914827108864394,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-06-01,2012-06,1044,235.74193548387098,6,0.07623104014418614,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-07-01,2012-07,765,178.5,2,0.05585895182979156,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-08-01,2012-08,447,100.93548387096774,3,0.03263915224564291,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-09-01,2012-09,395,89.19354838709677,150,0.028842203885970807,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-10-01,2012-10,1296,302.40000000000003,10,0.09463163604105865,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-11-01,2012-11,3000,677.4193548387098,25,0.21905471305800614,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2012-12-01,2012-12,2578,601.5333333333333,24,0.18824101675451327,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-01-01,2013-01,1437,324.4838709677419,22,0.10420533875052486,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-02-01,2013-02,848,191.48387096774195,22,0.06149347756467994,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-03-01,2013-03,998,249.50000000000003,7,0.07237086156786626,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-04-01,2013-04,1081,244.09677419354836,8,0.07838968071629601,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-05-01,2013-05,1318,307.5333333333333,7,0.09557594744133038,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-06-01,2013-06,1260,284.5161290322581,8,0.09137002562676501,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-07-01,2013-07,1023,238.70000000000002,7,0.07418375890173064,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-08-01,2013-08,592,133.67741935483872,2,0.04292940886590864,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-09-01,2013-09,1023,231.0,7,0.07418375890173064,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-10-01,2013-10,1136,265.06666666666666,14,0.08237805485079766,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-11-01,2013-11,1811,408.93548387096774,23,0.13132628286513606,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2013-12-01,2013-12,1547,360.9666666666667,12,0.11218208701952814,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
disease,D018,hemorrhagic-fever,Hemorrhagic Fever,CN,China,D018,Hemorrhagic Fever,流行性出血热,Viral,2014-01-01,2014-01,1072,242.06451612903226,15,0.07723610194200581,wpp_computed,,2010-01-01,2026-06-01,2026-08-01T00:00:00+00:00,cdc_weekly,China CDC Weekly,https://weekly.chinacdc.cn,web,cdc_weekly; nhc; pubmed,China CDC Weekly; National Disease Control and Prevention Administration; PubMed,https://weekly.chinacdc.cn; https://www.ndcpa.gov.cn; https://pubmed.ncbi.nlm.nih.gov,web; web; web
